"SG_UF";"CO_MUNICIPIO";"NO_MUNICIPIO";"REDE";"VL_OBSERVADO_2019";"VL_PROJECAO_2019"
"RO";1100015;"Alta Floresta D'Oeste";"Estadual";"5,4";"5,3"
"RO";1100015;"Alta Floresta D'Oeste";"Municipal";"4,6";"5"
"RO";1100015;"Alta Floresta D'Oeste";"Pública";"5,2";"5,3"
"RO";1100023;"Ariquemes";"Estadual";"5,1";"5,4"
"RO";1100023;"Ariquemes";"Municipal";"4,4";"5"
"RO";1100023;"Ariquemes";"Pública";"5,1";"5,2"
"RO";1100031;"Cabixi";"Estadual";"4,6";"5,5"
"RO";1100031;"Cabixi";"Pública";"4,6";"5,5"
"RO";1100049;"Cacoal";"Estadual";"5,4";"5,2"
"RO";1100049;"Cacoal";"Municipal";"4,3";"5,2"
"RO";1100049;"Cacoal";"Pública";"5,3";"5,3"
"RO";1100056;"Cerejeiras";"Estadual";"5,3";"5,3"
"RO";1100056;"Cerejeiras";"Municipal";;"5,2"
"RO";1100056;"Cerejeiras";"Pública";"5,3";"5,4"
"RO";1100064;"Colorado do Oeste";"Estadual";"5,2";"5,6"
"RO";1100064;"Colorado do Oeste";"Municipal";;
"RO";1100064;"Colorado do Oeste";"Pública";"5,1";"5,7"
"RO";1100072;"Corumbiara";"Estadual";"5";"5"
"RO";1100072;"Corumbiara";"Municipal";;
"RO";1100072;"Corumbiara";"Pública";"4,9";"5,1"
"RO";1100080;"Costa Marques";"Estadual";"5,1";"5"
"RO";1100080;"Costa Marques";"Municipal";;
"RO";1100080;"Costa Marques";"Pública";"4,5";"4,8"
"RO";1100098;"Espigão D'Oeste";"Estadual";"5,6";"5,5"
"RO";1100098;"Espigão D'Oeste";"Municipal";"4,5";"5,4"
"RO";1100098;"Espigão D'Oeste";"Pública";"5,4";"5,4"
"RO";1100106;"Guajará-Mirim";"Estadual";"4,5";"5,1"
"RO";1100106;"Guajará-Mirim";"Pública";"4,5";"5,1"
"RO";1100114;"Jaru";"Estadual";"5,1";"5"
"RO";1100114;"Jaru";"Municipal";;"4,6"
"RO";1100114;"Jaru";"Pública";"5,1";"4,6"
"RO";1100122;"Ji-Paraná";"Estadual";"4,9";"5,1"
"RO";1100122;"Ji-Paraná";"Municipal";;
"RO";1100122;"Ji-Paraná";"Pública";"4,9";"5,1"
"RO";1100130;"Machadinho D'Oeste";"Estadual";"4,5";"5,2"
"RO";1100130;"Machadinho D'Oeste";"Municipal";;"4,6"
"RO";1100130;"Machadinho D'Oeste";"Pública";"4,5";"4,7"
"RO";1100148;"Nova Brasilândia D'Oeste";"Estadual";"6,2";"5,4"
"RO";1100148;"Nova Brasilândia D'Oeste";"Municipal";"5,7";"5,1"
"RO";1100148;"Nova Brasilândia D'Oeste";"Pública";"6,1";"5,3"
"RO";1100155;"Ouro Preto do Oeste";"Estadual";"5,1";"4,6"
"RO";1100155;"Ouro Preto do Oeste";"Municipal";;"4,8"
"RO";1100155;"Ouro Preto do Oeste";"Pública";"5,1";"4,6"
"RO";1100189;"Pimenta Bueno";"Estadual";"5";"5,1"
"RO";1100189;"Pimenta Bueno";"Municipal";;"5,3"
"RO";1100189;"Pimenta Bueno";"Pública";"4,9";"5,1"
"RO";1100205;"Porto Velho";"Estadual";"4,4";"4,9"
"RO";1100205;"Porto Velho";"Municipal";;"5,1"
"RO";1100205;"Porto Velho";"Pública";"4,4";"4,9"
"RO";1100254;"Presidente Médici";"Estadual";"5,4";"5,5"
"RO";1100254;"Presidente Médici";"Municipal";;"5,5"
"RO";1100254;"Presidente Médici";"Pública";"5,4";"5,3"
"RO";1100262;"Rio Crespo";"Estadual";"4,5";"5,1"
"RO";1100262;"Rio Crespo";"Municipal";;
"RO";1100262;"Rio Crespo";"Pública";"4,2";"5,2"
"RO";1100288;"Rolim de Moura";"Estadual";"5,4";"4,9"
"RO";1100288;"Rolim de Moura";"Municipal";;"5"
"RO";1100288;"Rolim de Moura";"Pública";"5,3";"4,9"
"RO";1100296;"Santa Luzia D'Oeste";"Estadual";"5,3";"5,4"
"RO";1100296;"Santa Luzia D'Oeste";"Municipal";;"4,7"
"RO";1100296;"Santa Luzia D'Oeste";"Pública";"5,3";"5,2"
"RO";1100304;"Vilhena";"Estadual";"5";"5,1"
"RO";1100304;"Vilhena";"Municipal";"4,6";"5,7"
"RO";1100304;"Vilhena";"Pública";"4,9";"5,3"
"RO";1100320;"São Miguel do Guaporé";"Estadual";"4,7";"5,3"
"RO";1100320;"São Miguel do Guaporé";"Municipal";"4,5";"5,2"
"RO";1100320;"São Miguel do Guaporé";"Pública";"4,6";"5,4"
"RO";1100338;"Nova Mamoré";"Estadual";"4,5";"4,9"
"RO";1100338;"Nova Mamoré";"Municipal";;"4,6"
"RO";1100338;"Nova Mamoré";"Pública";"4,5";"4,7"
"RO";1100346;"Alvorada D'Oeste";"Estadual";"5,1";"5,1"
"RO";1100346;"Alvorada D'Oeste";"Municipal";"4,1";"5"
"RO";1100346;"Alvorada D'Oeste";"Pública";"4,7";"5,2"
"RO";1100379;"Alto Alegre dos Parecis";"Estadual";"5,4";"5,4"
"RO";1100379;"Alto Alegre dos Parecis";"Municipal";"4,1";"4,6"
"RO";1100379;"Alto Alegre dos Parecis";"Pública";"4,5";"5,2"
"RO";1100403;"Alto Paraíso";"Estadual";"4,4";"5,2"
"RO";1100403;"Alto Paraíso";"Municipal";;"4,4"
"RO";1100403;"Alto Paraíso";"Pública";"4,4";"4,8"
"RO";1100452;"Buritis";"Estadual";"5";"4,8"
"RO";1100452;"Buritis";"Municipal";;
"RO";1100452;"Buritis";"Pública";"5";"4,8"
"RO";1100502;"Novo Horizonte do Oeste";"Estadual";"5,1";"4,8"
"RO";1100502;"Novo Horizonte do Oeste";"Municipal";;"4,8"
"RO";1100502;"Novo Horizonte do Oeste";"Pública";"5,1";"4,8"
"RO";1100601;"Cacaulândia";"Estadual";"4,8";"5,3"
"RO";1100601;"Cacaulândia";"Municipal";;
"RO";1100601;"Cacaulândia";"Pública";"4,4";"5,2"
"RO";1100700;"Campo Novo de Rondônia";"Estadual";"4,5";"5"
"RO";1100700;"Campo Novo de Rondônia";"Municipal";;"4,5"
"RO";1100700;"Campo Novo de Rondônia";"Pública";"4,4";"4,5"
"RO";1100809;"Candeias do Jamari";"Estadual";"4,2";"4,6"
"RO";1100809;"Candeias do Jamari";"Municipal";;"4,9"
"RO";1100809;"Candeias do Jamari";"Pública";"3,8";"4,7"
"RO";1100908;"Castanheiras";"Estadual";"4,8";"5,2"
"RO";1100908;"Castanheiras";"Pública";"4,6";"5,5"
"RO";1100924;"Chupinguaia";"Estadual";;"4,9"
"RO";1100924;"Chupinguaia";"Municipal";;
"RO";1100924;"Chupinguaia";"Pública";;"5,3"
"RO";1100940;"Cujubim";"Estadual";"4,6";"5,2"
"RO";1100940;"Cujubim";"Municipal";;"4,5"
"RO";1100940;"Cujubim";"Pública";"4,1";"4,6"
"RO";1101005;"Governador Jorge Teixeira";"Estadual";"4,8";"4,4"
"RO";1101005;"Governador Jorge Teixeira";"Municipal";;
"RO";1101005;"Governador Jorge Teixeira";"Pública";"4,8";"4,6"
"RO";1101104;"Itapuã do Oeste";"Estadual";"3,9";"4,8"
"RO";1101104;"Itapuã do Oeste";"Pública";"3,9";"4,4"
"RO";1101203;"Ministro Andreazza";"Estadual";"5,5";"5,3"
"RO";1101203;"Ministro Andreazza";"Municipal";"5,2";"5,3"
"RO";1101203;"Ministro Andreazza";"Pública";"5,4";"5,4"
"RO";1101302;"Mirante da Serra";"Estadual";"4,9";"4,9"
"RO";1101302;"Mirante da Serra";"Municipal";;
"RO";1101302;"Mirante da Serra";"Pública";"4,9";"4,9"
"RO";1101401;"Monte Negro";"Estadual";"4,4";"5,4"
"RO";1101401;"Monte Negro";"Municipal";;"5"
"RO";1101401;"Monte Negro";"Pública";"4,4";"5,2"
"RO";1101435;"Nova União";"Estadual";"4,6";"5,4"
"RO";1101435;"Nova União";"Municipal";;"4,4"
"RO";1101435;"Nova União";"Pública";"4,3";"4,6"
"RO";1101450;"Parecis";"Estadual";"6,1";"5,2"
"RO";1101450;"Parecis";"Municipal";"4,3";"4,8"
"RO";1101450;"Parecis";"Pública";"5,1";"5,2"
"RO";1101468;"Pimenteiras do Oeste";"Estadual";"4,4";"5"
"RO";1101468;"Pimenteiras do Oeste";"Pública";"4,4";"5"
"RO";1101476;"Primavera de Rondônia";"Estadual";"5,3";"5,1"
"RO";1101476;"Primavera de Rondônia";"Pública";"5,3";"5,1"
"RO";1101484;"São Felipe D'Oeste";"Estadual";"4,5";"5"
"RO";1101484;"São Felipe D'Oeste";"Municipal";;"4,9"
"RO";1101484;"São Felipe D'Oeste";"Pública";"4,5";"4,8"
"RO";1101492;"São Francisco do Guaporé";"Estadual";"5,4";"4,8"
"RO";1101492;"São Francisco do Guaporé";"Municipal";;"4,6"
"RO";1101492;"São Francisco do Guaporé";"Pública";"5,4";"4,7"
"RO";1101500;"Seringueiras";"Estadual";"5,2";"4,9"
"RO";1101500;"Seringueiras";"Municipal";;
"RO";1101500;"Seringueiras";"Pública";"5,2";"4,8"
"RO";1101559;"Teixeirópolis";"Estadual";"5,2";"5"
"RO";1101559;"Teixeirópolis";"Municipal";"4,9";"5,2"
"RO";1101559;"Teixeirópolis";"Pública";"5";"5,1"
"RO";1101609;"Theobroma";"Estadual";"5,8";"4,9"
"RO";1101609;"Theobroma";"Pública";"5,3";"4,9"
"RO";1101708;"Urupá";"Estadual";"4,8";"4,4"
"RO";1101708;"Urupá";"Municipal";"4,2";"4,9"
"RO";1101708;"Urupá";"Pública";"4,4";"4,6"
"RO";1101757;"Vale do Anari";"Estadual";"4,9";"4,7"
"RO";1101757;"Vale do Anari";"Municipal";;"5,3"
"RO";1101757;"Vale do Anari";"Pública";"4,6";"4,8"
"RO";1101807;"Vale do Paraíso";"Estadual";"4,8";"5,4"
"RO";1101807;"Vale do Paraíso";"Municipal";"5";"5"
"RO";1101807;"Vale do Paraíso";"Pública";"4,9";"5,2"
"AC";1200013;"Acrelândia";"Estadual";;"5,2"
"AC";1200013;"Acrelândia";"Municipal";;
"AC";1200013;"Acrelândia";"Pública";;"5,2"
"AC";1200054;"Assis Brasil";"Estadual";"4,6";"4,7"
"AC";1200054;"Assis Brasil";"Pública";"4,6";"4,9"
"AC";1200104;"Brasiléia";"Estadual";"6,1";"4,8"
"AC";1200104;"Brasiléia";"Pública";"6,1";"4,9"
"AC";1200138;"Bujari";"Estadual";"3,6";"4,9"
"AC";1200138;"Bujari";"Municipal";;
"AC";1200138;"Bujari";"Pública";"3,6";"4,9"
"AC";1200179;"Capixaba";"Estadual";"4,3";"5,3"
"AC";1200179;"Capixaba";"Municipal";;"4,2"
"AC";1200179;"Capixaba";"Pública";"4,4";"5,2"
"AC";1200203;"Cruzeiro do Sul";"Estadual";"5,2";"5,3"
"AC";1200203;"Cruzeiro do Sul";"Municipal";"4,3";"5,5"
"AC";1200203;"Cruzeiro do Sul";"Pública";"5";"5,4"
"AC";1200252;"Epitaciolândia";"Estadual";"5";"4,7"
"AC";1200252;"Epitaciolândia";"Pública";"5";"4,8"
"AC";1200302;"Feijó";"Estadual";"5,2";"5,4"
"AC";1200302;"Feijó";"Municipal";;"4,5"
"AC";1200302;"Feijó";"Pública";"5,2";"5,3"
"AC";1200328;"Jordão";"Estadual";"4,9";"4,1"
"AC";1200328;"Jordão";"Municipal";"4,1";"4,6"
"AC";1200328;"Jordão";"Pública";"4,4";"4,6"
"AC";1200336;"Mâncio Lima";"Estadual";"4,5";"4,9"
"AC";1200336;"Mâncio Lima";"Municipal";;"4,5"
"AC";1200336;"Mâncio Lima";"Pública";"4,5";"4,8"
"AC";1200344;"Manoel Urbano";"Estadual";"4,7";"4,8"
"AC";1200344;"Manoel Urbano";"Municipal";;"4"
"AC";1200344;"Manoel Urbano";"Pública";"4,8";"4,7"
"AC";1200351;"Marechal Thaumaturgo";"Municipal";"3,9";"4,3"
"AC";1200351;"Marechal Thaumaturgo";"Pública";"3,9";"4,3"
"AC";1200385;"Plácido de Castro";"Estadual";"4,8";"5,1"
"AC";1200385;"Plácido de Castro";"Municipal";"4,3";"4,5"
"AC";1200385;"Plácido de Castro";"Pública";"4,7";"5,2"
"AC";1200393;"Porto Walter";"Estadual";"4";"4,2"
"AC";1200393;"Porto Walter";"Municipal";;"4,7"
"AC";1200393;"Porto Walter";"Pública";"4,1";"4,5"
"AC";1200401;"Rio Branco";"Federal";"4,9";"5,8"
"AC";1200401;"Rio Branco";"Estadual";"4,8";"5,4"
"AC";1200401;"Rio Branco";"Municipal";;"4,6"
"AC";1200401;"Rio Branco";"Pública";"4,8";"5,3"
"AC";1200427;"Rodrigues Alves";"Estadual";"4,7";"5,1"
"AC";1200427;"Rodrigues Alves";"Municipal";;"4,5"
"AC";1200427;"Rodrigues Alves";"Pública";"4,7";"4,8"
"AC";1200435;"Santa Rosa do Purus";"Municipal";"4";"4,6"
"AC";1200435;"Santa Rosa do Purus";"Pública";"4";"4,6"
"AC";1200450;"Senador Guiomard";"Estadual";"4,9";"5,8"
"AC";1200450;"Senador Guiomard";"Municipal";;"4,9"
"AC";1200450;"Senador Guiomard";"Pública";"4,8";"5,5"
"AC";1200500;"Sena Madureira";"Estadual";"4,9";"5"
"AC";1200500;"Sena Madureira";"Municipal";;"4,3"
"AC";1200500;"Sena Madureira";"Pública";"4,8";"4,6"
"AC";1200609;"Tarauacá";"Estadual";"4,7";"5,1"
"AC";1200609;"Tarauacá";"Municipal";;"4,8"
"AC";1200609;"Tarauacá";"Pública";"4,7";"5"
"AC";1200708;"Xapuri";"Estadual";"4,5";"5,3"
"AC";1200708;"Xapuri";"Municipal";;"4,6"
"AC";1200708;"Xapuri";"Pública";"4,5";"5,2"
"AC";1200807;"Porto Acre";"Estadual";;"5,3"
"AC";1200807;"Porto Acre";"Municipal";;
"AC";1200807;"Porto Acre";"Pública";;"5,2"
"AM";1300029;"Alvarães";"Estadual";"3,5";"4,3"
"AM";1300029;"Alvarães";"Municipal";;"3,7"
"AM";1300029;"Alvarães";"Pública";"3,4";"4,4"
"AM";1300060;"Amaturá";"Estadual";"4,7";"4,7"
"AM";1300060;"Amaturá";"Municipal";;"4,5"
"AM";1300060;"Amaturá";"Pública";"4,1";"4,7"
"AM";1300086;"Anamã";"Estadual";"4,8";"5,2"
"AM";1300086;"Anamã";"Municipal";"4,1";"5,1"
"AM";1300086;"Anamã";"Pública";"4,5";"5,2"
"AM";1300102;"Anori";"Estadual";"4,6";"4,3"
"AM";1300102;"Anori";"Municipal";"4,8";"4,9"
"AM";1300102;"Anori";"Pública";"4,7";"4,4"
"AM";1300144;"Apuí";"Estadual";"5,3";"5,4"
"AM";1300144;"Apuí";"Municipal";"4";"4,1"
"AM";1300144;"Apuí";"Pública";"4,7";"5,1"
"AM";1300201;"Atalaia do Norte";"Estadual";;"4,1"
"AM";1300201;"Atalaia do Norte";"Municipal";;
"AM";1300201;"Atalaia do Norte";"Pública";;"4,1"
"AM";1300300;"Autazes";"Estadual";"3,8";"4,5"
"AM";1300300;"Autazes";"Municipal";;
"AM";1300300;"Autazes";"Pública";"3,8";"4,5"
"AM";1300409;"Barcelos";"Estadual";"4,3";"4,9"
"AM";1300409;"Barcelos";"Municipal";;"4,8"
"AM";1300409;"Barcelos";"Pública";"4,2";"4,9"
"AM";1300508;"Barreirinha";"Estadual";"4";"4,8"
"AM";1300508;"Barreirinha";"Municipal";"3,7";"4,7"
"AM";1300508;"Barreirinha";"Pública";"3,8";"4,8"
"AM";1300607;"Benjamin Constant";"Estadual";"4,5";"4,3"
"AM";1300607;"Benjamin Constant";"Municipal";"3,6";"4,1"
"AM";1300607;"Benjamin Constant";"Pública";"3,9";"4,3"
"AM";1300631;"Beruri";"Estadual";"4,3";"4,3"
"AM";1300631;"Beruri";"Municipal";"3";"3,6"
"AM";1300631;"Beruri";"Pública";"3,6";"4,2"
"AM";1300680;"Boa Vista do Ramos";"Estadual";"3,6";"4,5"
"AM";1300680;"Boa Vista do Ramos";"Pública";"3,9";"4,4"
"AM";1300706;"Boca do Acre";"Estadual";"4,5";"4,7"
"AM";1300706;"Boca do Acre";"Municipal";"5,3";"5,5"
"AM";1300706;"Boca do Acre";"Pública";"4,7";"4,9"
"AM";1300805;"Borba";"Estadual";"4";"4,3"
"AM";1300805;"Borba";"Municipal";"3,7";"5,3"
"AM";1300805;"Borba";"Pública";"3,8";"4,3"
"AM";1300839;"Caapiranga";"Estadual";"4,5";"4,8"
"AM";1300839;"Caapiranga";"Municipal";"3,8";"3,5"
"AM";1300839;"Caapiranga";"Pública";"4,1";"4,7"
"AM";1300904;"Canutama";"Estadual";"4,4";"5,1"
"AM";1300904;"Canutama";"Municipal";;
"AM";1300904;"Canutama";"Pública";"3,8";"5"
"AM";1301001;"Carauari";"Estadual";"4,2";"4,2"
"AM";1301001;"Carauari";"Municipal";;
"AM";1301001;"Carauari";"Pública";"4,2";"4,2"
"AM";1301100;"Careiro";"Estadual";"4,2";"4,6"
"AM";1301100;"Careiro";"Municipal";"3,8";"4,2"
"AM";1301100;"Careiro";"Pública";"4";"4,7"
"AM";1301159;"Careiro da Várzea";"Estadual";"4,5";"4,9"
"AM";1301159;"Careiro da Várzea";"Municipal";"3,3";"4,5"
"AM";1301159;"Careiro da Várzea";"Pública";"4,1";"4,9"
"AM";1301209;"Coari";"Estadual";"4,1";"4,2"
"AM";1301209;"Coari";"Municipal";"3,4";"4,5"
"AM";1301209;"Coari";"Pública";"3,8";"4,3"
"AM";1301308;"Codajás";"Estadual";"3,9";"4,7"
"AM";1301308;"Codajás";"Municipal";"3,7";"5,5"
"AM";1301308;"Codajás";"Pública";"3,9";"4,7"
"AM";1301407;"Eirunepé";"Estadual";"3,7";"4,5"
"AM";1301407;"Eirunepé";"Municipal";;
"AM";1301407;"Eirunepé";"Pública";"3,5";"4,3"
"AM";1301506;"Envira";"Estadual";"4,5";"4,3"
"AM";1301506;"Envira";"Municipal";"2,4";"3,4"
"AM";1301506;"Envira";"Pública";"3,6";"4,3"
"AM";1301605;"Fonte Boa";"Estadual";"3,8";"4,6"
"AM";1301605;"Fonte Boa";"Municipal";"2,4";"5,6"
"AM";1301605;"Fonte Boa";"Pública";"3";"4,6"
"AM";1301654;"Guajará";"Estadual";"3,6";"4,6"
"AM";1301654;"Guajará";"Pública";"3,6";"4,6"
"AM";1301704;"Humaitá";"Estadual";"4,3";"4,6"
"AM";1301704;"Humaitá";"Municipal";"3,7";"4,1"
"AM";1301704;"Humaitá";"Pública";"4";"4,5"
"AM";1301803;"Ipixuna";"Estadual";"3,3";"4,1"
"AM";1301803;"Ipixuna";"Municipal";;
"AM";1301803;"Ipixuna";"Pública";"3,3";"4,1"
"AM";1301852;"Iranduba";"Estadual";"4,5";"4,3"
"AM";1301852;"Iranduba";"Municipal";"4,4";"4,5"
"AM";1301852;"Iranduba";"Pública";"4,4";"4,3"
"AM";1301902;"Itacoatiara";"Estadual";"5,2";"4,5"
"AM";1301902;"Itacoatiara";"Municipal";"4,1";"4,7"
"AM";1301902;"Itacoatiara";"Pública";"4,8";"4,6"
"AM";1301951;"Itamarati";"Estadual";"3,3";"4,2"
"AM";1301951;"Itamarati";"Municipal";;"2,9"
"AM";1301951;"Itamarati";"Pública";"2,8";"4,1"
"AM";1302009;"Itapiranga";"Estadual";"5,1";"4,6"
"AM";1302009;"Itapiranga";"Municipal";"4,1";"5,2"
"AM";1302009;"Itapiranga";"Pública";"4,8";"4,6"
"AM";1302108;"Japurá";"Estadual";"4,1";"4,2"
"AM";1302108;"Japurá";"Municipal";;
"AM";1302108;"Japurá";"Pública";"3,4";"4,2"
"AM";1302207;"Juruá";"Estadual";"3,4";"4,6"
"AM";1302207;"Juruá";"Municipal";;
"AM";1302207;"Juruá";"Pública";"3,6";"4,3"
"AM";1302306;"Jutaí";"Estadual";"4,1";"4,6"
"AM";1302306;"Jutaí";"Municipal";"3,3";"3,5"
"AM";1302306;"Jutaí";"Pública";"3,6";"4,6"
"AM";1302405;"Lábrea";"Estadual";"4,5";"4,4"
"AM";1302405;"Lábrea";"Municipal";"3,3";"4,5"
"AM";1302405;"Lábrea";"Pública";"3,9";"4,5"
"AM";1302504;"Manacapuru";"Estadual";"5";"4,7"
"AM";1302504;"Manacapuru";"Municipal";"4,6";"3,9"
"AM";1302504;"Manacapuru";"Pública";"4,9";"4,8"
"AM";1302553;"Manaquiri";"Estadual";"4,1";"4,9"
"AM";1302553;"Manaquiri";"Municipal";"3,5";"4,2"
"AM";1302553;"Manaquiri";"Pública";"3,7";"4,6"
"AM";1302603;"Manaus";"Federal";;"7"
"AM";1302603;"Manaus";"Estadual";"4,8";"4,6"
"AM";1302603;"Manaus";"Municipal";"4,8";"4,3"
"AM";1302603;"Manaus";"Pública";"4,8";"4,5"
"AM";1302702;"Manicoré";"Estadual";"4,7";"4,9"
"AM";1302702;"Manicoré";"Municipal";"4,2";"4,2"
"AM";1302702;"Manicoré";"Pública";"4,4";"4,8"
"AM";1302801;"Maraã";"Estadual";;"4,3"
"AM";1302801;"Maraã";"Municipal";"3,3";"4,1"
"AM";1302801;"Maraã";"Pública";"3,4";"4,3"
"AM";1302900;"Maués";"Estadual";"4,5";"5,2"
"AM";1302900;"Maués";"Municipal";"4";"4"
"AM";1302900;"Maués";"Pública";"4,2";"4,5"
"AM";1303007;"Nhamundá";"Estadual";"4,8";"4,9"
"AM";1303007;"Nhamundá";"Municipal";"4";"4,6"
"AM";1303007;"Nhamundá";"Pública";"4,4";"4,8"
"AM";1303106;"Nova Olinda do Norte";"Estadual";"4,3";"4,8"
"AM";1303106;"Nova Olinda do Norte";"Municipal";"4,2";"4,1"
"AM";1303106;"Nova Olinda do Norte";"Pública";"4,3";"4,8"
"AM";1303205;"Novo Airão";"Estadual";"5,6";"4,6"
"AM";1303205;"Novo Airão";"Municipal";"4,2";"4,1"
"AM";1303205;"Novo Airão";"Pública";"4,7";"4,6"
"AM";1303304;"Novo Aripuanã";"Estadual";"4,2";"4,3"
"AM";1303304;"Novo Aripuanã";"Municipal";;"3,5"
"AM";1303304;"Novo Aripuanã";"Pública";"3,9";"4,3"
"AM";1303403;"Parintins";"Estadual";"4,9";"5,2"
"AM";1303403;"Parintins";"Municipal";"4,4";"5"
"AM";1303403;"Parintins";"Pública";"4,7";"5,1"
"AM";1303502;"Pauini";"Estadual";"3,4";"4,3"
"AM";1303502;"Pauini";"Pública";"3,4";"4,4"
"AM";1303536;"Presidente Figueiredo";"Estadual";"4,9";"5,5"
"AM";1303536;"Presidente Figueiredo";"Municipal";"4,3";"4,5"
"AM";1303536;"Presidente Figueiredo";"Pública";"4,4";"4,7"
"AM";1303569;"Rio Preto da Eva";"Estadual";"4";"4,3"
"AM";1303569;"Rio Preto da Eva";"Municipal";"4,6";"4,8"
"AM";1303569;"Rio Preto da Eva";"Pública";"4,5";"4,5"
"AM";1303601;"Santa Isabel do Rio Negro";"Estadual";"4,1";"5,2"
"AM";1303601;"Santa Isabel do Rio Negro";"Municipal";"4";"4,4"
"AM";1303601;"Santa Isabel do Rio Negro";"Pública";"4";"4,8"
"AM";1303700;"Santo Antônio do Içá";"Estadual";"3,6";"4,3"
"AM";1303700;"Santo Antônio do Içá";"Municipal";;
"AM";1303700;"Santo Antônio do Içá";"Pública";"3,4";"4,3"
"AM";1303809;"São Gabriel da Cachoeira";"Estadual";"3,7";"5,2"
"AM";1303809;"São Gabriel da Cachoeira";"Municipal";;"4"
"AM";1303809;"São Gabriel da Cachoeira";"Pública";"3,7";"5,2"
"AM";1303908;"São Paulo de Olivença";"Estadual";"4,6";"4,6"
"AM";1303908;"São Paulo de Olivença";"Municipal";"3,7";
"AM";1303908;"São Paulo de Olivença";"Pública";"4,3";"4,7"
"AM";1303957;"São Sebastião do Uatumã";"Estadual";"4,3";"4"
"AM";1303957;"São Sebastião do Uatumã";"Municipal";;
"AM";1303957;"São Sebastião do Uatumã";"Pública";"4,2";"4"
"AM";1304005;"Silves";"Estadual";"4,5";"5,1"
"AM";1304005;"Silves";"Municipal";"4,2";"4,9"
"AM";1304005;"Silves";"Pública";"4,3";"4,9"
"AM";1304062;"Tabatinga";"Estadual";"4,4";"4,4"
"AM";1304062;"Tabatinga";"Municipal";"3,6";"4"
"AM";1304062;"Tabatinga";"Pública";"4,1";"4,4"
"AM";1304104;"Tapauá";"Estadual";"4,4";"4,1"
"AM";1304104;"Tapauá";"Municipal";"3,6";"4,9"
"AM";1304104;"Tapauá";"Pública";"4";"4,1"
"AM";1304203;"Tefé";"Estadual";"4,2";"4,6"
"AM";1304203;"Tefé";"Municipal";"4,1";"4,8"
"AM";1304203;"Tefé";"Pública";"4,2";"4,6"
"AM";1304237;"Tonantins";"Estadual";"3,7";"4,4"
"AM";1304237;"Tonantins";"Municipal";"3,6";"3,4"
"AM";1304237;"Tonantins";"Pública";"3,7";"4,3"
"AM";1304260;"Uarini";"Estadual";"4,7";"4,5"
"AM";1304260;"Uarini";"Municipal";"4,2";"4,8"
"AM";1304260;"Uarini";"Pública";"4,3";"4,5"
"AM";1304302;"Urucará";"Estadual";"4,3";"4,8"
"AM";1304302;"Urucará";"Municipal";"4,3";"4,7"
"AM";1304302;"Urucará";"Pública";"4,3";"4,8"
"AM";1304401;"Urucurituba";"Estadual";"4,3";"4,2"
"AM";1304401;"Urucurituba";"Municipal";"3,7";"4,3"
"AM";1304401;"Urucurituba";"Pública";"4,1";"4,2"
"RR";1400027;"Amajari";"Estadual";"3,9";"5,6"
"RR";1400027;"Amajari";"Municipal";;
"RR";1400027;"Amajari";"Pública";"3,9";"5,4"
"RR";1400050;"Alto Alegre";"Estadual";"3,8";"4,9"
"RR";1400050;"Alto Alegre";"Municipal";;"4,3"
"RR";1400050;"Alto Alegre";"Pública";"3,8";"4,9"
"RR";1400100;"Boa Vista";"Federal";"6,5";"6,6"
"RR";1400100;"Boa Vista";"Estadual";"4,3";"5,4"
"RR";1400100;"Boa Vista";"Municipal";;"5,8"
"RR";1400100;"Boa Vista";"Pública";"4,3";"5,4"
"RR";1400159;"Bonfim";"Estadual";"3,7";"5,3"
"RR";1400159;"Bonfim";"Municipal";"4,5";"4,6"
"RR";1400159;"Bonfim";"Pública";"4,1";"5,3"
"RR";1400175;"Cantá";"Estadual";;"5,1"
"RR";1400175;"Cantá";"Pública";;"5,1"
"RR";1400209;"Caracaraí";"Estadual";"3,8";"5,1"
"RR";1400209;"Caracaraí";"Municipal";;"4,9"
"RR";1400209;"Caracaraí";"Pública";"3,8";"5,1"
"RR";1400233;"Caroebe";"Estadual";;"4,9"
"RR";1400233;"Caroebe";"Pública";;"4,9"
"RR";1400282;"Iracema";"Estadual";"3,3";"4,1"
"RR";1400282;"Iracema";"Municipal";;"5"
"RR";1400282;"Iracema";"Pública";"3,3";"4,2"
"RR";1400308;"Mucajaí";"Estadual";"4,1";"5"
"RR";1400308;"Mucajaí";"Pública";"4,1";"5"
"RR";1400407;"Normandia";"Estadual";"3,1";"5"
"RR";1400407;"Normandia";"Pública";"3,1";"5"
"RR";1400456;"Pacaraima";"Estadual";;"4,9"
"RR";1400456;"Pacaraima";"Municipal";;
"RR";1400456;"Pacaraima";"Pública";;"5"
"RR";1400472;"Rorainópolis";"Estadual";"4";"4,9"
"RR";1400472;"Rorainópolis";"Municipal";;
"RR";1400472;"Rorainópolis";"Pública";"3,9";"4,9"
"RR";1400506;"São João da Baliza";"Estadual";"3,7";"4,8"
"RR";1400506;"São João da Baliza";"Municipal";;
"RR";1400506;"São João da Baliza";"Pública";"3,8";"4,9"
"RR";1400605;"São Luiz";"Estadual";"3,5";"5,1"
"RR";1400605;"São Luiz";"Municipal";;
"RR";1400605;"São Luiz";"Pública";"3,6";"5,1"
